2026-08-25 07:39:48 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:39:48 | INFO     | pipeline.preprocessing | Preprocessing complete: 52 ok, 0 duplicate, 0 empty, 0 error (of 52)
2026-08-25 07:39:48 | INFO     | pipeline.classification | Classification complete for 52 articles
2026-08-25 07:39:48 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 52 articles)
2026-08-25 07:39:49 | INFO     | pipeline.extraction | Extraction complete for 52 articles
2026-08-25 07:39:49 | INFO     | pipeline.summarization | Summarization complete for 52 articles
2026-08-25 07:39:49 | INFO     | pipeline.orchestrator | Pipeline run complete.
2026-08-25 07:39:49 | INFO     | pipeline.orchestrator | Exported final processed dataset (52 articles) to /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/processed_news_export.json
2026-08-25 07:39:49 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:39:49 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:41:05 | INFO     | pipeline.preprocessing | Preprocessing complete: 1 ok, 0 duplicate, 1 empty, 0 error (of 2)
2026-08-25 07:41:05 | INFO     | pipeline.classification | Classification complete for 2 articles
2026-08-25 07:41:05 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 1 groups, 1 marked duplicate (of 3 articles)
2026-08-25 07:41:05 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 2 articles)
2026-08-25 07:41:05 | INFO     | pipeline.extraction | Extraction complete for 1 articles
2026-08-25 07:41:05 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-1/test_insert_and_count0/test_raw_news.db
2026-08-25 07:41:05 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-1/test_insert_and_count0/test_raw_news.db)
